Question,Answer
농촌 공동 아이돌봄센터의 시설비 지원 한도는 얼마인가요?,"시설비의 경우 최대 1억 5,200만 원까지 지원을 받을 수 있습니다. 이와 관련한 제도는 농촌 공동 아이돌봄센터입니다. 참고해주세요."
농촌지역 어린이집의 농촌 공동 아이돌봄센터 운영비 지원은 어느 정도인가요?,"운영비는 최대 1,370만 원까지 지원됩니다. 이와 관련한 제도는 농촌 공동 아이돌봄센터입니다. 참고해주세요."
제 농촌지역 어린이집이 농촌 공동 아이돌봄센터 지원을 신청하고 싶습니다. 어떻게 해야 하나요?,농림축산식품부가 정하는 기간 내에 관할 지자체를 통해 신청하실 수 있습니다. 이와 관련한 제도는 농촌 공동 아이돌봄센터입니다. 참고해주세요.
농촌 공동 아이돌봄센터 지원 신청과 관련된 문의 사항이 있으면 어디로 연락해야 하나요?,관할 지자체 농정과로 문의하시면 됩니다. 이와 관련한 제도는 농촌 공동 아이돌봄센터입니다. 참고해주세요.
농촌지역 사회복지법인 어린이집도 농촌 공동 아이돌봄센터 지원을 받을 수 있나요?,해당 읍면에 국공립 어린이집이 없는 경우 사회복지법인 어린이집도 지원을 받을 수 있습니다. 이와 관련한 제도는 농촌 공동 아이돌봄센터입니다. 참고해주세요.
농촌 공동 아이돌봄센터 지원 신청 기한은 매년 정해져 있는 건가요?,"네, 매년 농림축산식품부가 정하는 기간 내에 신청해야 합니다. 이와 관련한 제도는 농촌 공동 아이돌봄센터입니다. 참고해주세요."
"우리 지역에는 국공립 어린이집이 없어서 사회복지법인 어린이집을 운영 중인데, 농촌 공동 아이돌봄센터 지원이 가능한가요?",가능합니다. 국공립 어린이집이 없는 읍면의 사회복지법인 어린이집은 지원 대상에 포함됩니다. 이와 관련한 제도는 농촌 공동 아이돌봄센터입니다. 참고해주세요.
농촌 공동 아이돌봄센터를 위한 시설비용 외에 추가적인 지원은 있는 건가요?,"네, 시설비용 외에도 운영비가 최대 1,370만 원까지 지원됩니다. 이와 관련한 제도는 농촌 공동 아이돌봄센터입니다. 참고해주세요."
영유아를 21인 이상 돌보는 농촌지역 어린이집도 농촌 공동 아이돌봄센터 지원을 신청할 수 있나요?,"아니요, 농촌 공동 아이돌봄센터 지원은 영유아를 3~20인까지 소규모로 돌보는 어린이집을 대상으로 하고 있습니다. 이와 관련한 제도는 농촌 공동 아이돌봄센터입니다. 참고해주세요."
"나 혼자 살고 있는데, 나이도 많고, 요즘 세상과 단절된 것 같아 우울해. 무슨 도움을 받을 수 있을까?","독거노인 사회관계 활성화 지원 프로그램을 이용해보실 수 있습니다. 방문상담, 집단활동, 자조모임 등 여러 활동을 통해 사회적 관계를 개선할 수 있도록 도와드립니다. 이와 관련한 제도는 독거노인 사회관계 활성화 지원입니다. 참고해주세요."
제 이웃이 독거노인인데 최근 병원에 자주 다니면서 우울해 보여요. 어떻게 도와줄 수 있을까요?,이웃분이 독거노인 사회관계 활성화 지원을 이용하면 좋을 것 같습니다. 우울증 진단을 받고 일상생활에 제한이 있는 독거노인을 위한 다양한 사회활동 프로그램이 제공됩니다. 이와 관련한 제도는 독거노인 사회관계 활성화 지원입니다. 참고해주세요.
독거노인을 위한 프로그램에 참여하고 싶은데 어디에 연락해야 하나요?,"독거노인 사회관계 활성화 지원 프로그램에 참여하시려면 거주지 읍면동 주민센터(행정복지센터)에 방문하거나 독거노인종합지원센터(☎1661-2129), 보건복지상담센터(☎129)로 문의하시면 됩니다. 이와 관련한 제도는 독거노인 사회관계 활성화 지원입니다. 참고해주세요."
친구가 없어서 매일 집에만 있는 70세 독거노인이에요. 제게 맞는 복지프로그램이 있나요?,독거노인 사회관계 활성화 지원 프로그램을 추천드립니다. 이 프로그램을 통해 최소한 한 명의 친구를 만드는 등 사회적 관계를 넓힐 수 있는 도움을 받을 수 있습니다. 이와 관련한 제도는 독거노인 사회관계 활성화 지원입니다. 참고해주세요.
외로운 노인분들을 위한 정부지원 프로그램은 어떻게 신청하나요?,독거노인 사회관계 활성화 지원 프로그램 신청을 위해서는 가까운 노인복지관 또는 읍면동 주민센터(행정복지센터)에 방문하시거나 전화로 상담 및 신청 절차에 대해 안내받으실 수 있습니다. 이와 관련한 제도는 독거노인 사회관계 활성화 지원입니다. 참고해주세요.
"혼자 사는 어르신인데, 요즘 사람들 만나기도 힘들고, 이야기 나눌 친구가 없어요. 어떻게 해야 할까요?","독거노인 사회관계 활성화 지원이 해결책이 될 수 있습니다. 이 제도를 통해 여러 사회적 활동에 참여하고, 믿고 의지할 수 있는 친구를 만들 수 있는 기회를 제공받을 수 있습니다. 이와 관련한 제도는 독거노인 사회관계 활성화 지원입니다. 참고해주세요."
내 주변에는둔형 고독사 위험이 있는 어르신들이 많아요. 대책이 있을까요?,은둔형 고독사 위험군에 속하는 어르신들을 위해 독거노인 사회관계 활성화 지원 프로그램이 운영되고 있습니다. 이 프로그램은 사회적 교류가 없는 어르신들에게 상담과 집단활동을 통해 사회적 연결을 강화하는 데 도움을 줍니다. 이와 관련한 제도는 독거노인 사회관계 활성화 지원입니다. 참고해주세요.
동네에서 혼자 사시는데 걷기도 어렵고 우울증이 있다는 할머니가 있어요. 할머니가 도움 받을 수 있는 곳은 어디인가요?,거동이 불편하고 우울증을 겪고 계시는 독거노인 분은 독거노인 사회관계 활성화 지원을 받으실 수 있습니다. 제한적인 상황에서도 사회적 관계를 개선하는 데 도움을 받을 수 있는 프로그램이 마련되어 있습니다. 이와 관련한 제도는 독거노인 사회관계 활성화 지원입니다. 참고해주세요.
"내 친구가 자살시도 가능성이 높은데, 어떻게 하면 도움을 줄 수 있을까요?","친구분에게 우울증이나 자살시도 가능성으로 인해 도움이 필요하시면, 독거노인 사회관계 활성화 지원 프로그램에 대해 알려드리는 것이 좋습니다. 전문적인 상담과 집단활동을 통해 위험을 줄이고 사회적 관계를 강화하는 데 도움을 받으실 수 있습니다. 이와 관련한 제도는 독거노인 사회관계 활성화 지원입니다. 참고해주세요."
연락처가 없어진 노년층이 주위에 많아져요. 정부가 지원하는 프로그램으로 어떻게 도울 수 있을까요?,연락처가 없거나 사회적으로 고립된 노년층을 위한 지원으로 독거노인 사회관계 활성화 지원 프로그램이 있습니다. 이들에게 친구를 만들고 사회적 교류를 강화할 방법을 제공하기 위해 마련된 프로그램입니다. 이와 관련한 제도는 독거노인 사회관계 활성화 지원입니다. 참고해주세요.
1인가구 청년들을 위해 어떤 지원 프로그램이 있나요?,청년 1인가구는 '자기 돌봄 관계 기술과 소통·교류 모임' 프로그램을 이용할 수 있습니다. 이와 관련한 제도는 1인가구 사회적관계망 형성 지원사업입니다. 참고해주세요.
중장년 1인가구에게 제공되는 지원 서비스는 무엇인가요?,중장년 1인가구를 위해 '서로 돌봄 생활 나눔 교육' 프로그램이 지원됩니다. 이와 관련한 제도는 1인가구 사회적관계망 형성 지원사업입니다. 참고해주세요.
노년 1인가구를 위한 지원사업은 어떤 종류가 있나요?,노년 1인가구의 경우 '심리상담과 건강한 노년 준비 교육'과 같은 프로그램을 통해 지원을 받을 수 있습니다. 이와 관련한 제도는 1인가구 사회적관계망 형성 지원사업입니다. 참고해주세요.
사회적관계망 지원사업은 어디서 신청할 수 있나요?,"이 지원사업은 각 지역 가족센터에서 신청 가능합니다. 서울, 부산, 대구 등 각 지역별로 센터가 위치하고 있습니다. 이와 관련한 제도는 1인가구 사회적관계망 형성 지원사업입니다. 참고해주세요."
경기도에서는 어떤 지역의 가족센터를 통해 서비스를 이용할 수 있나요?,"경기도에서는 과천시, 안성시, 화성시의 가족센터를 통해 서비스를 받을 수 있습니다. 이와 관련한 제도는 1인가구 사회적관계망 형성 지원사업입니다. 참고해주세요."
부산 지역 내 가족센터는 어디에 위치하고 있나요?,부산에서는 수영구와 연제구에 위치한 가족센터를 이용하실 수 있습니다. 이와 관련한 제도는 1인가구 사회적관계망 형성 지원사업입니다. 참고해주세요.
서울에서 1인가구 사회적관계망 형성 지원사업을 신청하고 싶은데 어디로 가야 하나요?,서울에서는 영등포구와 동대문구의 가족센터를 통해 신청하실 수 있습니다. 이와 관련한 제도는 1인가구 사회적관계망 형성 지원사업입니다. 참고해주세요.
1인가구 사회적관계망 형성 지원사업에 대한 문의는 어디로 하면 되나요?,여성가족부 가족정책과로 문의하시면 됩니다. 전화번호는 02-2100-6326입니다. 이와 관련한 제도는 1인가구 사회적관계망 형성 지원사업입니다. 참고해주세요.
전남 지역의 1인가구 지원을 받고 싶어요. 어디로 가야 하나요?,전남에서는 나주시와 영광군에 위치한 가족센터를 통해 지원을 받으실 수 있습니다. 이와 관련한 제도는 1인가구 사회적관계망 형성 지원사업입니다. 참고해주세요.
자기 돌봄 관계 기술을 배울 수 있는 프로그램은 누구를 대상으로 하나요?,자기 돌봄 관계 기술과 관련된 프로그램은 특히 청년 1인가구를 대상으로 하고 있습니다. 이와 관련한 제도는 1인가구 사회적관계망 형성 지원사업입니다. 참고해주세요.
만 12세 이하의 다문화가족 자녀에게 제공되는 언어발달 지원 프로그램은 어디서 신청할 수 있나요?,만 12세 이하의 다문화가족 자녀 언어발달 지원 프로그램은 다문화가족지원센터에서 신청하실 수 있습니다. 이와 관련한 제도는 다문화가족 자녀 언어발달 지원입니다. 참고해주세요.
다문화 가정 아이들이 언어발달 평가 및 교육을 받으려면 어떻게 해야 하나요?,다문화 가정의 자녀들을 위한 언어발달 정도 평가 및 교육은 다문화가족지원센터를 통해 신청하실 수 있습니다. 이와 관련한 제도는 다문화가족 자녀 언어발달 지원입니다. 참고해주세요.
어휘력과 읽기 능력 향상을 위해 다문화 자녀를 도울 수 있는 한국의 복지 서비스는 무엇인가요?,어휘력과 읽기 능력 향상을 위해서는 다문화가족 자녀에게 제공되는 언어발달 촉진교육 서비스를 이용하실 수 있습니다. 해당 서비스는 다문화가족지원센터에서 제공됩니다. 이와 관련한 제도는 다문화가족 자녀 언어발달 지원입니다. 참고해주세요.
다문화가족 내 아이들의 언어능력을 검사하고 싶을 때 어떤 서비스를 이용하면 좋을까요?,다문화가족 내 아이들의 언어능력 검사를 포함한 언어발달 지원은 다문화가족지원센터에서 받을 수 있는 서비스입니다. 이와 관련한 제도는 다문화가족 자녀 언어발달 지원입니다. 참고해주세요.
다문화가족지원센터에서 제공하는 아동 언어발달 서비스에 대해 알고 싶어요. 어디서 정보를 찾을 수 있나요?,다문화가족지원센터에서 제공하는 아동 언어발달 서비스 정보는 다누리 포털 또는 다누리 앱에서 확인하실 수 있습니다. 이와 관련한 제도는 다문화가족 자녀 언어발달 지원입니다. 참고해주세요.
다문화 가정 아동을 위한 언어발달 촉진교육을 받으려면 어디로 문의해야 하나요?,다문화 가정 아동의 언어발달 촉진교육에 대해 문의하고 싶으시다면 다누리콜센터(1577-1366)로 연락하실 수 있습니다. 이와 관련한 제도는 다문화가족 자녀 언어발달 지원입니다. 참고해주세요.
다문화가족 자녀들의 대화 능력을 키울 수 있는 한국 정부 지원 프로그램이 있나요?,"네, 다문화가족 자녀들의 대화 능력 향상을 위한 정부 지원 프로그램이 있으며, 이는 다문화가족지원센터에서 제공됩니다. 이와 관련한 제도는 다문화가족 자녀 언어발달 지원입니다. 참고해주세요."
만 12세 이하 자녀를 둔 다문화 가정이 언어 발달 지원을 신청하려면 어떤 절차를 따라야 하나요?,"만 12세 이하 자녀를 둔 다문화 가정에서 언어 발달 지원을 신청하시려면, 다문화가족지원센터를 통해 절차를 밟으시면 됩니다. 이와 관련한 제도는 다문화가족 자녀 언어발달 지원입니다. 참고해주세요."
다문화가족 자녀 언어발달 지원 프로그램은 어떤 내용을 포함하나요?,"다문화가족 자녀 언어발달 지원 프로그램은 언어발달 정도 평가와 함께 어휘, 대화, 읽기 등의 언어발달 촉진교육을 제공합니다. 이와 관련한 제도는 다문화가족 자녀 언어발달 지원입니다. 참고해주세요."
다누리 포털이나 앱을 이용해 다문화가족 자녀 언어발달 지원 서비스에 대한 정보를 얻으려면 어떻게 해야 하나요?,다누리 포털 또는 다누리 앱을 이용하여 다문화가족 자녀 언어발달 지원 서비스에 대한 정보를 얻을 수 있습니다. 해당 포털이나 앱을 통해 인근 센터를 확인하고 필요한 정보를 얻으실 수 있습니다. 이와 관련한 제도는 다문화가족 자녀 언어발달 지원입니다. 참고해주세요.
"임신으로 인한 마음의 갈등을 겪고 있어요, 어디에 조언을 구할 수 있나요?",임신 및 출산으로 인한 갈등 상황에는 가족상담 전화(1644-6621)를 통해 심리정서 지원 및 정보를 제공 받으실 수 있습니다. 이와 관련한 제도는 가족상담 전화입니다. 참고해주세요.
혼자 아이를 키우는데 어떤 정책이나 서비스 이용이 가능한가요?,한부모가 족정책 및 지원 서비스 정보는 가족상담 전화를 통해 상담 받으실 수 있습니다. 이와 관련한 제도는 가족상담 전화입니다. 참고해주세요.
"전직 배우자로부터 양육비를 받지 못하고 있는데, 어떻게 해야 하나요?",양육비 이행과 관련된 상담은 가족상담 전화를 통해 지원을 받으실 수 있습니다. 이와 관련한 제도는 가족상담 전화입니다. 참고해주세요.
가족 간의 문제로 심리적인 어려움을 겪고 있는데 도움받을 수 있는 곳이 있나요?,가족 갈등에 대한 심리정서 지원은 가족상담 전화에서 상담해드립니다. 이와 관련한 제도는 가족상담 전화입니다. 참고해주세요.
미혼모인데 다양한 서비스 이용 방법을 모르겠어요. 어디서 정보를 얻을 수 있죠?,다양한 한부모가족 지원 서비스 정보는 가족상담 전화를 통해 안내 받으실 수 있습니다. 이와 관련한 제도는 가족상담 전화입니다. 참고해주세요.
가족 관련 법률적인 문제 해결을 할 수 있는 상담을 찾고 있어요.,가족 관련 법률적 문제에 대한 상담 서비스는 가족상담 전화를 통해 지원받으실 수 있습니다. 이와 관련한 제도는 가족상담 전화입니다. 참고해주세요.
아이를 혼자 키우는데 주변에 물어볼 사람이 없어요. 상담은 어떻게 받나요?,양육에 관한 상담 및 정보 지원은 가족상담 전화를 이용하시면 도움을 받으실 수 있습니다. 이와 관련한 제도는 가족상담 전화입니다. 참고해주세요.
가족 구성원들과 잘 지내고 싶은데 계속해서 문제가 생겨요. 어떻게 조언을 구할 수 있나요?,가족 갈등 해결을 원하신다면 가족상담 전화에서 전문 상담사의 도움을 받으실 수 있습니다. 이와 관련한 제도는 가족상담 전화입니다. 참고해주세요.
"친구가 혼자 아기를 키우는데, 어떤 혜택이 있는지 알려주고 싶어요. 어디를 알아보면 될까요?",한부모가족 지원 서비스에 대한 정보는 가족상담 전화에서 상세한 안내를 받을 수 있습니다. 이와 관련한 제도는 가족상담 전화입니다. 참고해주세요.
아이를 키우며 마주하는 어려움에 대해 이야기할 수 있는 상담 창구가 있을까요?,자녀 양육에 대한 고민이나 어려움을 가족상담 전화를 통해 상담하실 수 있습니다. 이와 관련한 제도는 가족상담 전화입니다. 참고해주세요.
"외국에서 한국으로 결혼이주를 한 이후, 생활에 필요한 정보를 얻고 싶어요. 어디로 연락해야 하나요?",다문화 가족 관련 정책 서비스와 생활 정보 상담은 다누리콜센터(☎1577-1366)를 이용하실 수 있습니다. 이곳에서는 13개 국어로 상담을 제공하여 도움을 받으실 수 있습니다. 이와 관련한 제도는 다누리콜센터입니다. 참고해주세요.
"갑자기 위기 상황이 발생했는데, 다문화 가족을 위한 긴급 상담 서비스는 어떻게 받을 수 있나요?","위기 상황에서는 다누리콜센터의 전화 상담 또는 면회, 방문 상담과 온라인을 통해서 긴급 상담 서비스를 받으실 수 있습니다. 필요에 따라 긴급피난처 제공 및 보호시설 연계도 도와드립니다. 이와 관련한 제도는 다누리콜센터입니다. 참고해주세요."
한국어가 미숙해서 전화 통역 상담 서비스를 제공받을 수 있는 곳이 있나요?,전화로 다누리콜센터(☎1577-1366)에 연락하시면 3자 통화 통역 상담 서비스를 제공받으실 수 있습니다. 다양한 언어 옵션이 준비되어 있으니 언어의 장벽 없이 도움을 이용하실 수 있습니다. 이와 관련한 제도는 다누리콜센터입니다. 참고해주세요.
평소 가정 내 부부 간의 갈등이 심해 상담을 받고 싶습니다. 다문화 가족인데 상담받을 수 있는 곳이 있을까요?,"다문화 가족의 경우 다누리콜센터에서 개인, 부부, 가족 갈등해결에 관한 상담을 제공합니다. 편리하게 전화로 상담을 받으실 수 있으며, 다국어 서비스가 지원됩니다. 이와 관련한 제도는 다누리콜센터입니다. 참고해주세요."
타국에서 한국으로 건너온 친구가 있는데 어떻게 하면 다양한 정부 지원을 받을 수 있을까요?,"귀하의 친구는 다누리콜센터(☎1577-1366)를 이용하여 다양한 정부 지원 정보를 안내받을 수 있습니다. 13개 국어 상담 서비스로 편리하게 정보를 얻을 수 있으며, 다른 필요한 상담도 받을 수 있습니다. 이와 관련한 제도는 다누리콜센터입니다. 참고해주세요."
네팔어를 사용하는 결혼이민자입니다. 한국에서 어려움을 겪고 있어 어디에 도움을 요청할 수 있을지 모르겠어요.,네팔어 포함 13개 국어로 서비스를 제공하는 다누리콜센터(☎1577-1366)에 연락하셔서 도움을 요청하실 수 있습니다. 일상 생활에서 겪는 어려움부터 긴급 상황까지 다양한 상황에 대한 도움을 받으실 수 있습니다. 이와 관련한 제도는 다누리콜센터입니다. 참고해주세요.
다문화 가족을 위한 폭력 및 긴급 상황에 대처할 수 있는 서비스에 대해 알고 싶습니다. 어떻게 도움을 받을 수 있나요?,"폭력 또는 긴급 상황 발생 시 다누리콜센터를 통해 전화, 면접, 방문, 온라인을 이용한 상담을 받으실 수 있습니다. 필요할 경우 긴급피난처 제공과 보호시설 연계까지 지원됩니다. 이와 관련한 제도는 다누리콜센터입니다. 참고해주세요."
우즈벡어를 구사하는 결혼이민자가 한국에 잘 적응할 수 있도록 어떤 상담 서비스를 이용할 수 있나요?,우즈벡어를 포함한 13개 언어의 상담 서비스를 제공하는 다누리콜센터(☎1577-1366)를 이용하실 수 있습니다. 종합생활정보상담과 다문화가족정책서비스 안내를 받으실 수 있어 적응에 도움이 될 것입니다. 이와 관련한 제도는 다누리콜센터입니다. 참고해주세요.
한국에서 일하고 싶은데 언어장벽 때문에 정보를 얻기 힘듭니다. 13개 언어 상담이 가능한 곳은 어디인가요?,"다누리콜센터(☎1577-1366)에서는 13개 언어로 생활정보와 다문화가족정책에 관한 상담 서비스가 제공됩니다. 취업 관련 정보도 포함되어 있으니, 언어장벽 없이 필요한 정보와 도움을 받으실 수 있습니다. 이와 관련한 제도는 다누리콜센터입니다. 참고해주세요."
"다문화가족 지원을 위해 다누리콜센터에 연락하고싶은데, 온라인으로도 정보를 얻을 수 있는 방법이 있나요?",다누리콜센터의 서비스 정보는 다누리 누리집(http://www.liveinkorea.kr)과 다누리 앱을 통해서도 온라인으로 확인하실 수 있습니다. 필요한 정보와 상담을 편리하게 접할 수 있게 준비되어 있습니다. 이와 관련한 제도는 다누리콜센터입니다. 참고해주세요.
"가정생활에서 어려움을 겪고 있는데, 어떤 서비스를 이용할 수 있나요?","가족센터에서 제공하는 가족교육, 가족상담, 가족문화 프로그램 등 다양한 서비스를 이용할 수 있습니다. 이와 관련한 제도는 가족센터 운영입니다. 참고해주세요."
결혼생활이 힘들어 상담을 받고 싶어요. 어디로 연락해야 하나요?,가족센터에서 부부상담 서비스를 제공하고 있습니다. 전화번호 1577-9337로 문의하시거나 [www.familynet.or.kr](http://www.familynet.or.kr)를 통해 온라인 신청이 가능합니다. 이와 관련한 제도는 가족센터 운영입니다. 참고해주세요.
자녀 교육에 대해 배우고 싶은데 가족센터에 어떤 프로그램이 있나요?,가족센터에서는 생애주기별로 부모교육 프로그램을 제공합니다. 이와 관련한 제도는 가족센터 운영입니다. 참고해주세요.
"이혼을 고려 중인데, 상담을 받을 수 있는 곳이 있나요?",가족센터에서 이혼 전∙후 상담 서비스를 제공하고 있습니다. 관련 상담을 원하시면 지역 가족센터에 문의해보세요. 이와 관련한 제도는 가족센터 운영입니다. 참고해주세요.
가족과 함께 할 수 있는 문화활동에 참여하고 싶어요.,가족센터에서는 가족문화 프로그램과 가족사랑의 날 행사 등을 운영하고 있습니다. 지역 가족센터에 방문하거나 온라인으로 신청해 참여할 수 있습니다. 이와 관련한 제도는 가족센터 운영입니다. 참고해주세요.
신혼부부로서 앞으로의 결혼생활을 어떻게 잘 이어갈 수 있을지 배우고 싶어요.,가족센터에서는 생애주기별 신혼기 부부교육 프로그램을 제공합니다. 지역 센터를 통해 자세한 정보를 얻고 참여할 수 있습니다. 이와 관련한 제도는 가족센터 운영입니다. 참고해주세요.
나이가 들면서 부부 관계에 문제가 생겼어요. 이에 대해 도움받을 수 있는 곳이 있나요?,가족센터에서 중년기 부부교육 및 상담 프로그램을 이용할 수 있습니다. 전화나 온라인 신청을 통해서 상담을 예약하세요. 이와 관련한 제도는 가족센터 운영입니다. 참고해주세요.
가족과 함께 전통문화를 체험할 수 있는 프로그램이 있으면 좋겠어요.,가족센터에서는 전통문화체험교실을 포함한 다양한 문화 프로그램을 운영하고 있습니다. 프로그램에 관한 정보는 웹사이트 [www.familynet.or.kr](http://www.familynet.or.kr)을 통해 확인하실 수 있습니다. 이와 관련한 제도는 가족센터 운영입니다. 참고해주세요.
부모님과 갈등이 있어서 전문가의 도움을 받고 싶어요.,부모-자녀상담 서비스를 가족센터에서 제공하고 있습니다. 지역 가족센터에 연락하여 상담 예약을 하실 수 있습니다. 이와 관련한 제도는 가족센터 운영입니다. 참고해주세요.
건강한 가정을 만들기 위한 캠페인에 참여하고 싶어요.,가족센터에서는 건강가정캠페인과 같은 프로그램을 통해 가정생활에 도움을 드리고 있습니다. 지역 센터로 문의하거나 온라인으로 신청하셔서 참여하실 수 있습니다. 이와 관련한 제도는 가족센터 운영입니다. 참고해주세요.
거리에서 생활하는 노숙인분들은 어디에 도움을 요청할 수 있나요?,거리 노숙인은 시군구청 또는 노숙인 종합지원센터에 도움을 요청할 수 있습니다. 이와 관련한 제도는 노숙인 등 복지 지원입니다. 참고해주세요.
