"제 임금이 줄어들어 생계가 어려운데, 임금감소 생계비 지원은 어떻게 이루어지나요?","임금감소 생계비는 근로자 생활안정자금 융자를 통해 1,000만 원 범위 내에서 임금감소액에 따라 변동적으로 지원됩니다.",근로자 생활안정자금 융자
"급하게 소액의 자금이 필요한데, 이 경우 생활안정자금 융자로 얼마까지 신청할 수 있나요?","긴급한 소액생계비의 경우, 근로자 생활안정자금 융자로 최대 200만 원까지 지원받을 수 있습니다.",근로자 생활안정자금 융자
"자녀학자금과 자녀양육비를 동시에 신청하려고 하는데, 2종목 이상 신청 시 총 한도가 어떻게 되나요?","2종목 이상을 신청할 경우 근로자 생활안정자금 융자에서는 1인당 총 2,000만 원을 한도로 지원합니다.",근로자 생활안정자금 융자
"저는 안정적인 금리로 융자받고 싶어 하는데, 근로자 생활안정자금 융자 제도의 정확한 금리가 궁금합니다.",근로자 생활안정자금 융자의 금리는 연 1.5%입니다. 이는 매우 낮은 수준의 금리로 안정적인 대출 이용이 가능하겠네요.,근로자 생활안정자금 융자
근로자 생활안정자금 융자를 받을 때 신용보증료는 어느 정도되나요?,근로자 생활안정자금 융자의 신용보증료는 연 0.9% 이상에서 1.0% 미만으로 적용됩니다.,근로자 생활안정자금 융자
근로자 융자 제도 중에서 비교적 저렴한 금리로 융자를 받을 수 있는 방법이 있다면 알려주세요.,"근로자 생활안정자금 융자라는 제도가 있으며, 이는 연 1.5%의 낮은 융자 금리를 제공합니다. 더불어 신용보증료도 비교적 낮은 수준인 연 0.9%에서 1.0% 미만으로 부담이 적습니다.",근로자 생활안정자금 융자
"근로자 생활안정자금 융자를 받았을 때, 소액생계비를 제외한 나머지 금액의 상환 방식은 어떻게 되나요?",소액생계비를 제외한 나머지 금액의 상환 방식은 1년 거치 기간 후 3년 혹은 4년 동안 원금을 균등하게 분할하여 상환하는 방식입니다.,근로자 생활안정자금 융자
만약에 5백만 원의 생활안정자금 융자를 받았다면 소액생계비 상환 계획은 어떻게 되나요?,"5백만 원의 생활안정자금 융자가 소액생계비에 해당한다면, 상환 계획은 1년 동안 상환을 유예한 후에, 그 다음 1년간 원금을 균등하게 분할하여 상환하는 것입니다.",근로자 생활안정자금 융자
"근로자 생활안정자금 융자를 상환할 때, 1년 거치 기간이란 정확히 무엇을 의미하나요?",1년 거치 기간은 융자 금액을 받은 후 처음 1년 동안은 상환하지 않고 대기하는 기간을 의미합니다. 이 기간 동안은 원금 상환 의무가 없습니다.,근로자 생활안정자금 융자
고용위기지역에 거주하는 4인 가족의 월평균 중위소득 한도는 얼마인가요?,고용위기지역에 거주하는 4인 가구의 경우 월평균 중위소득의 2/3 한도가 361만 원으로 지원됩니다.,근로자 생활안정자금 융자
고용위기지역 거주자가 생활안정자금을 융자받을 때 선택할 수 있는 상환 조건은 어떤 것들이 있나요?,"고용위기지역 거주자는 1년 거치 후 3년 상환, 1년 거치 후 4년 상환, 2년 거치 후 4년 상환, 3년 거치 후 5년 상환 중 선택하여 융자상환 조건을 정할 수 있습니다.",근로자 생활안정자금 융자
일반 지역과 고용위기 지역의 고등학생 자녀학자금 융자한도 차이는 얼마나 되나요?,"일반 지역에서는 고등학생 자녀 1인당 연간 500만 원의 융자한도가 적용되지만, 고용위기지역에서는 고등학생 및 대학생 자녀 1인당 연간 700만 원으로 융자한도가 높습니다.",근로자 생활안정자금 융자
특별고용지원업종에 해당되는 가구의 경우 임금체불생계비 융자한도는 얼마인가요?,"특별고용지원업종에 해당되는 경우 총 한도가 3,000만 원으로 임금체불생계비 융자한도가 책정됩니다.",근로자 생활안정자금 융자
고용위기지역 및 특별고용지원업종에 해당할 때 생활안정자금 융자를 받을 수 있는 소득 기준은 무엇인가요?,"해당 지역에 사는 경우, 생활안정자금 융자를 받기 위한 소득 요건은 4인 가족 기준으로 월평균 중위소득의 2/3 이하인 361만 원을 기준으로 합니다.",근로자 생활안정자금 융자
고용위기지역에서 생활안정자금을 융자 받을 때 상환기간에 대한 거치 기간은 최대 몇 년까지 가능한가요?,"고용위기지역에서 생활안정자금을 융자 받을 경우, 상환에 앞서 최대 3년까지 거치 기간을 설정할 수 있습니다.",근로자 생활안정자금 융자
사채를 조달하고 싶은데 근로복지공단에서 지원하는 방법이 있나요?,근로자 생활안정자금 융자를 통해 지원받을 수 있습니다. 먼저 근로복지공단 전국지사나 근로복지넷에서 신청 및 접수를 해야 합니다.,근로자 생활안정자금 융자
근로자 생활안정자금 융자 신청을 하고 싶어요. 어디서 하면 되나요?,신청은 근로복지공단 전국지사나 근로복지넷 웹사이트에서 가능합니다.,근로자 생활안정자금 융자
근로자 생활안정자금 융자를 신청한 후 절차는 어떻게 되나요?,"예비선정, 구비서류 제출, 융자결정, 보증심사 및 보증서 발행, 그리고 융자실행의 순서로 진행됩니다.",근로자 생활안정자금 융자
실제 자금을 받기 위해서는 어떤 은행을 통해야 하나요?,융자실행은 IBK기업은행을 통해 이루어집니다. 관련 절차는 해당 은행을 통해 진행하게 됩니다.,근로자 생활안정자금 융자
IBK기업은행의 홈페이지 주소를 알려주세요.,IBK기업은행의 공식 웹사이트 주소는 http://www.ibk.co.kr 입니다.,근로자 생활안정자금 융자
융자 결정이 되었다는 게 정확히 어떤 의미인가요?,"융자 결정이란 귀하의 융자 신청이 승인되었으며, 곧 융자 자금을 받을 수 있게 되었다는 뜻입니다. 다음 단계인 보증심사 및 보증서 발행을 거쳐, 최종적으로 자금이 지급됩니다.",근로자 생활안정자금 융자
근로자가 생활안정자금을 대출받기 위해 알아봐야 할 곳이 어디인가요?,근로자 생활안정자금 융자에 대한 정보는 근로복지넷 웹사이트와 근로복지공단 콜센터에서 확인할 수 있습니다.,근로자 생활안정자금 융자
근로복지공단 콜센터 번호를 알려주세요.,근로복지공단 콜센터의 전화번호는 1588-0075입니다.,근로자 생활안정자금 융자
생활안정자금 융자에 관한 자세한 정보를 얻으려면 어떻게 해야 하나요?,근로복지공단과 근로복지넷 웹사이트에서 생활안정자금 융자에 관한 상세한 정보를 제공받을 수 있습니다.,근로자 생활안정자금 융자
근로복지넷의 온라인 정보를 확인하려면 접속 주소를 어떻게 알 수 있나요?,근로복지넷의 웹사이트 주소는 http://welfare.comwel.or.kr 입니다.,근로자 생활안정자금 융자
만약 근로자 융자와 관련하여 직접 상담을 원한다면 어디로 연락해야 하나요?,근로복지공단 콜센터 1588-0075로 전화하여 생활안정자금 융자와 관련된 상담을 받을 수 있습니다.,근로자 생활안정자금 융자
생활안정자금 융자 신청 절차에 대한 안내를 받으려면 어디로 문의해야 하나요?,근로복지넷에 접속하거나 근로복지공단 콜센터로 연락하면 융자 신청 절차에 대한 안내를 받을 수 있습니다.,근로자 생활안정자금 융자
근로자 생활안정자금 융자 사업 신청시 신용보증지원 대상에서 제외되는 사람은 누구인가요?,"신용보증지원 대상에서 제외되는 사람은 한국신용정보원에 부정한 정보가 등록된 사람, 외국인, 재외동포, 신용보증을 받고도 구상금을 미납한 사람, 부정대부 신청 또는 용도 외 사용으로 대부 결정이 취소된 사람입니다.",근로자 생활안정자금 융자
한국신용정보원 등록 정보가 신용보증 대상 결정에 영향을 미치나요?,"네, 한국신용정보원에 등록된 신용도판단정보 또는 공공정보는 신용보증 자격에 영향을 미치므로 해당 정보가 신용보증 대상 결정 시 고려됩니다.",근로자 생활안정자금 융자
신용보증지원 받은 후 구상금을 남기고 신규로 근로자 생활안정자금 융자를 받을 수 있나요?,"아니요, 신용보증지원을 받고 남은 구상금 미납액이 있는 경우는 근로자 생활안정자금 융자 사업의 신용보증 대상에서 제외됩니다.",근로자 생활안정자금 융자
부정대부 신청 또는 용도 외 사용으로 인한 대부 결정 취소 경험이 있을 경우 근로자 생활안정자금 융자를 신청할 수 있나요?,"아니요, 부정 대부 신청이나 대부금의 용도 외 사용으로 대부 결정이 취소된 이력이 있는 사람은 신청 자격에서 제외됩니다.",근로자 생활안정자금 융자
외국인도 근로자 생활안정자금 융자 사업을 통한 신용보증을 받을 수 있나요?,"아니요, 외국인은 이 융자 사업을 통한 신용보증 대상에서 제외됩니다.",근로자 생활안정자금 융자
"신용보증지원 제외 대상이 그 사업만의 특별한 기준인가요, 일반적으로 신용보증에서 배제되는 표준 기준인가요?","근로자 생활안정자금 융자 사업의 신용보증지원 제외 대상은 해당 사업의 특별한 기준에 근거합니다. 일반적인 신용보증 제외 기준과 다를 수 있으니, 구체적인 조건은 사업별로 확인해야 합니다.",근로자 생활안정자금 융자
만약 회사가 부도가 나서 임금을 받지 못했다면 어떤 제도를 통해 지원을 받을 수 있나요?,"회사의 도산으로 임금을 받지 못한 경우, '대지급금 제도'를 통해 지원을 받을 수 있습니다. 이전에는 '체당금'이라고 불렸으나, 2021년 10월 14일부터 법이 개정되어 대지급금으로 명칭이 변경되었습니다.",대지급금 제도
"제 고용주가 파산하여 월급을 받지 못하는 상황인데, 정부에서 어떻게 도와줄 수 있는지 궁금합니다.",정부는 고용주의 파산 등으로 월급을 받지 못하는 근로자분들을 위해 '대지급금 제도'를 운영하고 있습니다. 체당금에서 이름이 변경된 이 제도를 통해 임금 사항에 대한 지원을 신청하실 수 있습니다.,대지급금 제도
회사가 경영난으로 인해 문을 닫게 되면서 경제적으로 어려움을 겪고 있어요. 정부 지원금을 어떻게 신청할 수 있나요?,"경영난으로 인해 근로자가 임금을 받지 못하는 상황에는 '대지급금 제도'를 통한 정부 지원을 신청하실 수 있습니다. 이 제도는 체당금 제도에서 개정된 것으로, 관련 절차를 알아보시고 신청하시면 됩니다.",대지급금 제도
"제가 소속된 회사가 파산을 선언해서 급여를 받지 못했는데, 도산 대지급금을 신청할 수 있나요? 저는 1년 전에 퇴사했거든요.","네, 도산 대지급금은 퇴직 기준일로부터 1년 전부터 3년 이내에 퇴직한 근로자가 신청 대상에 해당하기 때문에, 조건을 충족한다면 신청이 가능합니다. 단, 기업이 6개월 이상 가동되었어야 하며, 사업주가 임금을 지급할 능력이 없음이 법적으로 확인되어야 합니다.",대지급금 제도
"우리 회사가 경영난으로 임금 체불이 발생했어요. 제가 아직 재직 중인데, 간이 대지급금을 받을 수 있을까요?","근로자(재직자)의 경우, 마지막 체불 발생일로부터 6개월 이상 사업이 계속되었고, 임금 체불에 대해 확정 판결이나 사업주 확인서가 발급되어 체불임금이 확인된 상태라면 간이 대지급금을 신청할 수 있습니다. 또한 근로계약을 유지 중이어야 하며, 체불 발생일 이후 2년 이내(확정 판결의 경우) 또는 1년 이내(사업주 확인서의 경우)에 소송 또는 진정을 제기해야 합니다.",대지급금 제도
"제가 8개월 전에 직장을 그만두었는데, 체불된 임금이 있어요. 간이 대지급금을 어떻게 신청하나요?","퇴직자의 경우, 퇴직일로부터 6개월 이상 해당 사업이 가동되었다면 간이 대지급금 신청이 가능합니다. 체불된 임금에 대한 사업주의 확인서나 확정 판결이 있어야 하며, 퇴직 후 다음날부터 2년 이내(확정 판결의 경우), 또는 1년 이내(사업주 확인서의 경우)에 진정을 제기하여야 합니다.",대지급금 제도
도산 대지급금과 간이 대지급금의 차이점을 알려주세요.,"도산 대지급금은 사업주가 임금 등을 지급할 능력이 없을 때, 법적으로 도산이 인정된 경우 근로자에게 적용되며, 퇴직 기준일로부터 1년 전부터 3년 이내에 퇴직한 근로자가 대상입니다. 반면, 간이 대지급금은 퇴직자와 재직자 모두가 체불된 임금에 대한 확정 판결이나 사업주의 확인서 발급 조건을 충족할 경우 지원받을 수 있으며, 체불 발생일로부터 6개월 이상 사업이 지속된 경우에 해당됩니다.",대지급금 제도
"파산한 회사에서 일했던 근로자로서, 체불임금을 받기 위해 도산 대지급금을 신청하고자 합니다. 어떤 서류를 준비해야 하나요?","도산 대지급금을 신청하기 위해서는 사업주의 파산 등 도산 사실을 증명할 수 있는 서류, 근로자의 퇴직을 입증할 수 있는 서류, 임금 체불 사실을 확인할 수 있는 임금 지급내역서류 등이 필요합니다. 구체적인 서류 목록과 절차는 관할 노동청에 문의하거나 고용노동부 웹사이트에서 확인 가능합니다.",대지급금 제도
제가 작년에 회사를 그만뒀는데 회사에서 체불된 임금을 준다고 하지 않아요. 도산 대지급금을 신청해도 될까요? 그럼 언제까지 신청해야 하나요?,"퇴직 기준일로부터 1년 전부터 3년 이내에 퇴직한 근로자라면, 도산 대지급금을 신청할 수 있습니다. 회사가 법적으로 임금을 지급할 능력이 없다고 판단되는 경우에 신청이 가능하며, 사업을 6개월 이상 영위했어야 합니다. 신청 기한에 관해서는 퇴직 다음 날로부터 정해진 기간 내에 신청해야 하므로, 해당 기간을 잘 확인하고 법적 절차를 밟아야 합니다.",대지급금 제도
Question,Answer,Documents
"회사가 도산해서 임금을 못 받고 있는데, 도산 대지급금은 30세 미만 근로자의 임금 체불 상한액이 얼마예요?",도산 대지급금에서 30세 미만 근로자의 임금 체불 상한액은 220만원입니다.,대지급금 제도
"내 나이가 42살인데, 회사가 문을 닫아서 퇴직급여를 못 받았어요. 도산 대지급금으로 지원받을 수 있는 금액의 한도는 얼마인가요?",퇴직 시 연령이 40세 이상 50세 미만일 경우 도산 대지급금의 퇴직급여 상한액은 350만원입니다.,대지급금 제도
출산휴가 중인데 회사가 경영난으로 임금을 주지 못하는 상황이 발생했어요. 출산전후휴가기간 중 급여의 도산 대지급금 상한은 얼마인가요?,출산전후휴가기간 중 급여에 대한 도산 대지급금의 상한액은 연령에 관계없이 310만원입니다.,대지급금 제도
도산 대지급금의 휴업수당 지원 한도를 알고 싶어요. 55세인 경우 얼마를 받을 수 있나요?,"퇴직 당시 연령이 50세 이상 60세 미만이라면, 휴업수당에 대한 도산 대지급금 상한액은 231만원입니다.",대지급금 제도
"만약 제가 퇴직 시 나이가 28세라면, 도산 대지급금으로 얼마까지 퇴직급여를 지원받을 수 있나요?","퇴직 당시 연령이 30세 미만인 경우, 도산 대지급금의 퇴직급여 상한액은 220만원입니다.",대지급금 제도
"회사가 부도가 나서 임금을 받지 못했어요. 저는 61세인데, 도산 대지급금의 임금 체불 지급 상한은 어떻게 되나요?","퇴직 당시 연령이 60세 이상인 경우, 도산 대지급금에 따른 임금 체불 지급 상한액은 230만원입니다.",대지급금 제도
체불 임금을 받지 못한 퇴직자가 간이 대지급금을 신청할 경우 최대 얼마까지 지원받을 수 있나요?,"퇴직자의 경우, 간이 대지급금으로 최대 1,000만 원까지 지원받을 수 있습니다. 이 금액에는 임금 등 최대 700만 원과 퇴직급여 최대 700만 원이 포함됩니다.",대지급금 제도
"현재 재직 중인데, 간이 대지급금을 신청하려면 어떤 조건을 충족해야 하나요?","재직 중인 근로자는 체불 발생일로부터 소급하여 마지막 3개월 간의 체불 임금에 대해 간이 대지급금을 신청할 수 있습니다. 다만, 소송 또는 진정 제기일을 기준으로 체크합니다.",대지급금 제도
체불 임금에 대한 간이 대지급금을 신청할 때 재직자와 퇴직자의 지원금액에 차이가 있나요?,"네, 차이가 있습니다. 재직자는 최대 700만 원까지, 퇴직자는 임금 등 최대 700만 원과 퇴직급여 최대 700만 원을 합하여 최대 1,000만 원까지 지원금액을 받을 수 있습니다.",대지급금 제도
한 사업체에서 근무하면서 간이 대지급금을 몇 번이나 신청할 수 있나요?,"재직자의 경우, 하나의 사업체에서 근무하는 동안 간이 대지급금은 1회만 신청할 수 있습니다.",대지급금 제도
퇴직자가 간이 대지급금을 신청할 때 어떤 기간 동안의 체불액을 신청할 수 있나요?,"퇴직자는 최종 3년 간의 퇴직급여 등 체불액 및 최종 3개월분의 임금이나 휴업수당, 출산전후휴가기간 중 급여의 체불액을 지원 신청할 수 있습니다.",대지급금 제도
간이 대지급금의 지원 범위에 출산전후휴가기간 중 급여도 포함되나요?,"네, 출산전후휴가기간 중에 받지 못한 급여도 간이 대지급금의 지원 범위에 포함됩니다. 이 금액은 퇴직자의 경우 최종 3개월분, 재직자의 경우 마지막 체불 발생일부터 소급하여 3개월 간의 급여 중 체불액으로 계산됩니다.",대지급금 제도
대지급금 제도를 어떻게 신청할 수 있나요?,"대지급금 제도는 근로복지공단에 직접 방문하여 신청하거나, 근로복지공단의 고용및산재보험 토탈서비스 웹사이트(total.comwel.or.kr)를 통해 온라인으로 신청할 수 있습니다.",대지급금 제도
근로복지공단 고용및산재보험 토탈서비스의 웹사이트 주소를 알려주세요.,근로복지공단 고용및산재보험 토탈서비스의 웹사이트 주소는 total.comwel.or.kr 입니다.,대지급금 제도
온라인으로 대지급금 신청 시 이용하는 공식 사이트는 어디인가요?,"온라인으로 대지급금을 신청할 때 이용하는 공식 사이트는 근로복지공단 고용및산재보험 토탈서비스이며, 사이트 주소는 total.comwel.or.kr입니다.",대지급금 제도
근로복지공단 방문 없이 대지급금 신청하는 방법이 있나요?,"네, 근로복지공단에 방문하지 않고도 고용및산재보험 토탈서비스 웹사이트를 통해 온라인으로 대지급금을 신청할 수 있습니다.",대지급금 제도
대지급금 관련 문의는 어디로 해야 하나요?,"대지급금 관련 문의는 근로복지공단에 직접 전화하거나 방문하여 상담받을 수 있으며, 토탈서비스 웹사이트를 통한 온라인 문의도 가능합니다.",대지급금 제도
토탈서비스 사이트에서 대지급금 제도에 대해 알 수 있는 정보는 무엇인가요?,"토탈서비스 사이트에서는 대지급금 제도의 신청 방법, 필요 서류, 진행 절차 등에 대한 상세 정보를 확인할 수 있습니다.",대지급금 제도
대체근로 임금을 알려줄 수 있는 곳에 연락하고 싶어요. 어디로 전화해야 하나요?,고용노동부 고객상담센터(1350) 또는 근로복지공단 고객지원센터(1588-0075)로 연락하시면 대체근로 임금에 대한 정보를 제공받으실 수 있습니다.,대지급금 제도
고용노동부 쪽으로 대지급금 제도에 대해 문의하고자 합니다. 웹사이트 주소를 알려주실 수 있나요?,고용노동부의 웹사이트 주소는 www.moel.go.kr 입니다. 대지급금 제도에 대한 자세한 내용은 이 웹사이트에서 확인할 수 있습니다.,대지급금 제도
대지급금에 대한 정보를 인터넷으로 찾아볼 수 있는 근로복지공단의 웹 페이지 주소가 무엇인가요?,근로복지공단의 웹 페이지 주소는 www.comwel.or.kr 입니다. 여기서 대지급금에 관련된 정보를 상세히 알아보실 수 있어요.,대지급금 제도
