,Question,Answer,Documents
16,주민센터나 한국가스안전공사를 통해서 가스용기 관련 도움을 받을 수 있나요?,"네, LPG용기 사용가구 시설개선 문의는 귀하가 거주하는 지역의 주민센터(행정복지센터)나 한국가스안전공사를 통해 지원을 받을 수 있습니다. 한국가스안전공사의 전화번호는 1544-4500입니다.",LPG용기 사용가구 시설개선
17,집에 설치된 LPG 가스 시설을 점검받고 싶어요. 어떻게 해야 하죠?,"LPG 가스 시설의 점검이나 개선이 필요하다면, 가까운 시군구 가스 담당 부서나 읍면동 주민센터(행정복지센터)에 문의하시거나 한국가스안전공사에 직접 전화하기 바랍니다. 안전 점검에 관한 자세한 안내를 받으실 수 있습니다.",LPG용기 사용가구 시설개선
18,LPG용기를 안전하게 사용하려면 어떤 절차를 따라야 하나요?,"LPG용기 사용의 안전을 위해서는 귀하의 거주 지역 시군구에 위치한 가스 담당부서나 읍면동 주민센터(행정복지센터)를 방문하거나, 한국가스안전공사에 전화하여 안전 사용에 관한 지침과 절차를 문의하세요.",LPG용기 사용가구 시설개선
19,가스 시설 개선을 위한 지원은 어디에서 받을 수 있을까요?,"가스 시설의 개선을 위한 지원을 받기 위해서는 귀하가 거주하는 시군구의 가스 담당부서에 문의하거나 읍면동 주민센터(행정복지센터)를 이용하실 수 있습니다. 또한, 한국가스안전공사로 전화하여 자세한 정보와 지원을 요청하실 수 있습니다.",LPG용기 사용가구 시설개선
20,LPG용기 관련 시설을 업그레이드하고자 합니다. 절차가 궁금해요.,"LPG용기 관련 시설의 업그레이드를 계획 중이시라면, 지역 시군구의 가스 담당 핫라인 또는 읍면동 주민센터(행정복지센터)에서 필요한 절차와 지원 정보를 문의하시거나, 한국가스안전공사에 직접 전화하여 안내를 받으실 수 있습니다.",LPG용기 사용가구 시설개선
21,가정에서 필요한 가사 및 간병 서비스를 받으려면 어떤 기준을 충족해야 하나요?,"가사, 간병 방문 지원사업은 만 65세 미만의 기준 중위소득 70% 이하 계층 중에서 장애정도가 심한 장애인, 중증질환자, 희귀난치성 질환자, 소년소녀 가정, 조손가정, 한부모가족(법정보호세대), 또는 의료급여수급자 중 장기입원 사례관리퇴원자가 해당되며, 이 이미 다른 유사 서비스를 이용하고 있지 않아야 합니다.","가사, 간병 방문 지원사업"
22,중증질환을 앓고 있는 30세 환자도 가사 지원을 받을 수 있을까요?,"네, 해당 환자가 기준 중위소득 70% 이하 계층에 속하며 이전에 유사한 서비스를 받고 있지 않다면 가사 지원을 신청할 수 있습니다.","가사, 간병 방문 지원사업"
23,조손가정에 속하는데 가사 서비스를 신청하는 과정에 필요한 것은 무엇인가요?,"가사, 간병 방문 지원사업 신청 시, 만 65세 미만임을 증명하고, 소득 수준이 기준 중위소득 70% 이하임을 입증하는 서류가 필요합니다. 또한 가사 또는 간병 서비스가 필요한 상황임을 보여주는 증빙 자료도 준비하셔야 합니다.","가사, 간병 방문 지원사업"
24,"가사, 간병 방문 지원은 어떻게 신청할 수 있나요?","가사, 간병 방문 지원사업은 관할 동사무소 혹은 주소지를 관할하는 보건소에 연락하여 신청서 및 필요한 서류를 제출함으로써 신청할 수 있습니다.","가사, 간병 방문 지원사업"
25,"희귀난치성 질환자이지만 중위소득이 70%를 조금 넘어가는데, 가사, 간병 서비스를 신청할 수 있을까요?","아니요, 가사, 간병 방문 지원사업의 명시된 기준은 기준 중위소득 70% 이하 계층이어야 하므로, 중위소득이 기준치를 초과할 경우 서비스 신청이 불가능합니다.","가사, 간병 방문 지원사업"
26,"동일 또는 유사한 서비스를 받고 있는데, 추가적으로 가사, 간병 방문 지원을 받을 수 있나요?","아니요, 동일하거나 유사한 서비스를 이미 이용 중인 경우에는 가사, 간병 방문 지원사업을 신청할 수 없습니다.","가사, 간병 방문 지원사업"
27,가사와 간병 서비스 이용을 위한 지원 바우처는 한달에 몇 시간 사용할 수 있나요?,가사 및 간병 서비스 이용을 위한 지원 바우처는 한 달에 일정 시간 사용할 수 있습니다. 정확한 사용 시간은 개인의 상황에 따라 달라질 수 있어 구체적인 시간은 지자체나 해당 서비스를 제공하는 기관에 문의하셔야 합니다.,"가사, 간병 방문 지원사업"
28,"가사, 간병 방문 지원사업은 기간이 어떻게 정해져 있나요?","가사, 간병 방문 지원사업은 자격 결정일로부터 1년간 지원하며, 재판정 절차를 거칠 경우 1년 단위로 연장이 가능합니다.","가사, 간병 방문 지원사업"
29,장기입원사례관리자를 위한 서비스는 연장이 가능한가요?,"장기입원사례관리자를 위한 서비스는 1년간 지원되며, 연장은 불가능합니다.","가사, 간병 방문 지원사업"
30,"가사, 간병 방문 지원사업 바우처를 받으려면 어떤 절차를 거쳐야 하나요?","가사, 간병 방문 지원사업 바우처를 받기 위해서는 자격 결정 절차를 거쳐야 하며, 자격이 확정된 후에 서비스를 이용할 수 있습니다.","가사, 간병 방문 지원사업"
31,"가사, 간병 방문 지원사업 지원을 받기 위해선 어떤 조건이 충족되어야 하나요?","가사, 간병 방문 지원사업은 대상자의 상황에 따라 다른 조건들이 요구될 수 있지만, 일반적으로는 신체적·사회적 필요에 기반하여 결정됩니다. 자세한 자격 요건은 지자체나 해당 서비스 제공 기관에 문의하시는 것이 좋습니다.","가사, 간병 방문 지원사업"
32,"가사, 간병 방문 지원사업이 1년 후에 종료되면, 다시 신청할 수 있나요?","만약 1년의 서비스 기간이 종료되면 재판정 절차를 거쳐 서비스 연장의 가능성을 타진할 수 있습니다. 단, 장기입원사례관리자의 경우는 서비스 연장이 불가능합니다.","가사, 간병 방문 지원사업"
33,"가사와 간병 문제로 도움이 필요한데, 지원을 신청하고 싶어요. 어디로 가야 하나요?",가사 및 간병 방문 지원사업을 신청하려면 가까운 읍면동 주민센터(행정 복지센터)에 방문하여 신청하시면 됩니다.,"가사, 간병 방문 지원사업"
34,"동네에서 가사와 간병 서비스를 지원해주는 프로그램에 참여하고 싶은데, 어떤 절차를 거쳐야 하나요?","지역사회 내에서 제공되는 가사, 간병 방문 지원사업에 참여를 원하신다면, 거주하시는 지역의 읍면동 주민센터(행정 복지센터)를 방문하여 신청 절차를 밟으시면 됩니다.","가사, 간병 방문 지원사업"
35,제가 간병인을 집으로 부를 수 있게 해주는 서비스는 어디에서 신청할 수 있나요?,"가정으로 가사 도움이나 간병인을 부르길 원하신다면, 해당 서비스인 가사, 간병 방문 지원사업을 이용하실 수 있으며, 이를 신청하기 위해선 거주하시는 읍면동 주민센터(행정 복지센터)로 가셔서 신청하시면 됩니다.","가사, 간병 방문 지원사업"
36,"집에서 필요한 간병 서비스를 신청하고 싶어요, 어떻게 하면 되나요?","필요한 간병이나 가사도우미 서비스를 받기 위해서는 보건복지상담센터로 문의하시면 되고, 해당 센터의 연락처는 129입니다.","가사, 간병 방문 지원사업"
37,보건복지상담센터에 전화하려고 하는데 번호가 뭐예요?,보건복지상담센터에 연락하실려면 129번으로 전화하시면 됩니다.,"가사, 간병 방문 지원사업"
38,부모님을 위한 재택 간병 지원을 받고 싶은데 정보를 어디서 알아볼 수 있을까요?,재택 간병 서비스에 대한 정보는 보건복지상담센터에 문의하시면 상세히 안내받을 수 있습니다. 해당 센터는 129번으로 전화하시면 됩니다.,"가사, 간병 방문 지원사업"
39,가족희망드림 지원을 받기 위한 소득 기준은 무엇인가요?,가족희망드림 지원의 대상이 되는 소득 기준은 기준 중위소득 100% 이하입니다.,가족희망드림 지원
40,가족희망드림 지원에서 어떤 가족 유형이 지원받을 수 있나요?,"한부모가족, 조손가족, 청소년부모, 1인 가구, 다문화가족이 지원을 받을 수 있습니다.",가족희망드림 지원
41,경제적으로 어려움에 직면했다면 가족희망드림 지원을 신청할 수 있나요?,"네, 경제적이나 사회적 위기사건에 직면한 가족은 가족희망드림 지원 신청이 가능합니다.",가족희망드림 지원
42,가족희망드림 지원은 어떤 목적으로 마련된 제도인가요?,가족 기능 및 역량 강화를 위해 필요한 가족들에게 지원을 제공하기 위한 제도입니다.,가족희망드림 지원
43,청소년부모도 가족희망드림 지원을 신청할 수 있나요?,"예, 청소년부모 역시 가족희망드림 지원의 대상에 포함됩니다.",가족희망드림 지원
44,다문화가족에 대한 가족희망드림 지원 여부는 어떻게 알 수 있나요?,"다문화가족도 지원 대상에 포함되므로, 자세한 사항은 관련 기관에 문의하거나 안내문을 참고하시면 됩니다.",가족희망드림 지원
45,가족희망드림을 통해 제공받을 수 있는 서비스 내용에는 어떤 것들이 포함되나요?,"가족희망드림 서비스에는 사례관리를 통한 심리·경제적 안정 지원, 건강 및 직업교육 정보 제공, 보육서비스 안내, 지역사회 자원 연계 등이 포함됩니다. 또한 학습 및 정서 지원, 생활도움서비스, 심리상담 및 법률지원, 긴급위기상황 시 돌봄과 지원서비스 제공 등이 있습니다.",가족희망드림 지원
46,취학 전 아이를 둔 가정을 위한 가족희망드림의 지원 방안은 무엇인가요?,"취학 전 아동을 둔 가정의 경우, 가족희망드림은 아동의 학습 및 정서에 대한 지원 뿐만 아니라 청소년(한)부모까지도 가능한 서비스를 제공하게 됩니다.",가족희망드림 지원
47,위기 상황이 발생했을 때 가족희망드림에서 어떤 지원을 받을 수 있나요?,"위기 사건 발생 시, 가족희망드림은 긴급돌봄 서비스, 심리 및 정서 지원서비스를 포함해 긴급위기지원을 제공합니다.",가족희망드림 지원
48,청소년 부모들이 가족희망드림을 통해 이용할 수 있는 서비스는 무엇인가요?,"청소년 부모들은 가족희망드림을 통해 심리상담, 법률지원뿐만 아니라, 자녀가 만 18세 미만일 경우 생활도움서비스를 제공받을 수 있습니다.",가족희망드림 지원
49,만 18세 미만 자녀를 둔 취약 가족에게 제공되는 생활도움서비스의 내용은 무엇인가요?,"가족희망드림 프로그램 하에서 만 18세 미만의 자녀를 둔 취약 가족에게는 가사 도우미 파견, 아동 보육 지원 및 기타 생활 관련 지원 서비스가 제공될 수 있습니다.",가족희망드림 지원
50,"지역사회 자원을 활용하는 것이 건강, 직업교육, 보육 서비스 제공에 어떻게 도움이 되나요?","가족희망드림에서는 지역사회의 다양한 자원을 활용하여 체계적인 건강 관리, 직업교육 프로그램 참여 기회 제공, 그리고 양질의 보육 서비스 연결을 지원함으로써 가족들의 복지를 향상시키고 자립을 장려합니다.",가족희망드림 지원
51,가족희망드림 서비스에 가입하고 싶어요. 어디서 신청해야 하나요?,가족희망드림 서비스 신청은 가까운 지역 가족센터에서 하실 수 있습니다. 해당 센터를 방문하셔서 필요한 서류를 준비하고 안내받으실 수 있습니다.,가족희망드림 지원
52,지역 가족센터에 가면 어떤 도움 받을 수 있나요? 가족희망드림 지원을 받고 싶어서요.,"지역 가족센터에서는 가족희망드림 지원 프로그램 신청 절차와 상담, 다양한 가족지원 서비스 정보 제공을 포함하여 여러 가족복지 서비스에 대한 도움을 받으실 수 있습니다. ",가족희망드림 지원
53,제가 지원받을 수 있는 복지 프로그램이 있는지 모르겠어요. 가족희망드림은 어떤 기준으로 신청할 수 있나요?,가족희망드림 프로그램 신청 자격 및 세부 기준은 지역 가족센터 또는 복지 포털 웹사이트를 통해서 확인하실 수 있습니다. 지역 가족센터에 방문하신다면 전문 상담사가 본인의 상황에 맞는 프로그램을 안내해 드릴 것입니다.,가족희망드림 지원
54,가족희망드림 지원이 무엇인가요?,가족희망드림 지원은 가정 내 위기 상황에 처한 가족들에게 맞춤형 복지 서비스를 제공해 안정적인 가정 환경을 조성하고자 하는 프로그램입니다.,가족희망드림 지원
55,가족센터 연락처를 알려주세요.,가족센터의 전화번호는 1577-9337입니다. 복지서비스 관련 문의나 지원을 원하시면 연락하시는 것이 좋습니다.,가족희망드림 지원
56,가족센터는 어떤 정보를 제공하나요?,"가족센터는 다양한 가족 지원 프로그램과 서비스, 상담, 교육 정보 등을 제공하며, 가족희망드림 지원과 관련된 문의에도 대응합니다.",가족희망드림 지원
57,가족센터 웹사이트 주소를 알려주세요.,가족센터의 공식 웹사이트 주소는 http://www.familynet.or.kr 입니다. 이곳에서 다양한 서비스와 프로그램을 확인하실 수 있습니다.,가족희망드림 지원
58,만약 가족관련 문제로 도움이 필요하다면 어디로 연락해야 하나요?,가족 관련 문제로 도움이 필요하신 경우 가족센터로 연락을 주시면 됩니다. 그들은 다양한 가족 문제에 대한 지원과 상담 서비스를 제공합니다.,가족희망드림 지원
59,제가 받을 수 있는 가족 지원 프로그램이 있는지 어떻게 알 수 있나요?,본인이 받을 수 있는 가족 지원 프로그램에 대해서는 가족센터와의 상담을 통해 자격 여부 및 세부사항을 확인하실 수 있습니다. 전화 또는 웹사이트를 통해 문의하시면 안내받으실 수 있습니다.,가족희망드림 지원
60,국민임대주택을 신청할 수 있는 소득 기준은 어떻게 되나요?,"국민임대주택을 신청하기 위한 소득 기준은 도시근로자 월평균소득의 70% 이하입니다. 단, 1인 가구는 90%, 2인 가구는 80% 이하로 적용됩니다.",국민임대주택 공급
61,국민임대주택을 신청하기 위한 자산보유 기준은 얼마인가요?,"국민임대주택 신청을 위한 자산보유 기준은 총자산이 3억 6100만 원 이하이며, 소유하는 자동차의 가치는 3683만 원 이하여야 합니다.",국민임대주택 공급
62,입주자 모집공고일 현재 무주택 세대구성원이란 무엇을 의미하나요?,"입주자 모집공고일 현재 무주택 세대구성원이란, 공고일을 기준으로 주택을 소유하고 있지 않은 세대의 구성원을 의미합니다.",국민임대주택 공급
63,단독 세대주로 국민임대주택을 신청하려면 어떤 기준을 만족해야 하나요?,"단독 세대주가 국민임대주택을 신청하려면 도시근로자 월평균소득의 90% 이하의 소득 기준과 총자산 3억 6100만 원 이하, 자동차 가치 3683만 원 이하의 자산보유 기준을 만족해야 합니다.",국민임대주택 공급
64,두 사람으로 구성된 가구가 국민임대주택에 지원하려면 어던 소득 기준을 충족해야 하나요?,두 사람으로 구성된 가구가 국민임대주택을 지원하기 위해서는 도시근로자 월평균소득의 80% 이하를 충족해야 합니다.,국민임대주택 공급
65,국민임대주택 신청자격에 있어서 세대구성원이란 누구를 말하나요?,"국민임대주택 신청자격에 있어 세대구성원이란 해당 세대에 등록되어 있는 모든 가족 구성원을 말합니다. 단, 주택을 소유하고 있지 않아야 합니다.",국민임대주택 공급
66,국민임대주택을 처음 계약할 때 계약 기간은 얼마인가요?,국민임대주택의 최초 계약 기간은 2년입니다.,국민임대주택 공급
67,전용면적 60㎡ 이하인 주택을 임대할 때 시중 전세가 대비 임대료는 얼마나 책정되나요?,전세시세의 60% 이상 80% 이하 수준으로 임대료가 책정됩니다.,국민임대주택 공급
68,국민임대주택에 몇 년까지 거주할 수 있나요?,국민임대주택은 최장 30년까지 거주 가능합니다.,국민임대주택 공급
69,국민임대주택의 재계약 주기는 어떻게 되나요?,국민임대주택은 2년 단위로 재계약이 가능합니다.,국민임대주택 공급
70,저소득층을 위한 국민임대주택 임대료는 시세 대비 어느 정도 저렴한가요?,국민임대주택은 시중 전세시세 대비 약 60%에서 80% 수준의 저렴한 임대료로 제공됩니다.,국민임대주택 공급
71,국민임대주택은 갱신 계약을 몇 번까지 할 수 있나요?,"2년 단위로 갱신 계약이 가능하며, 특별한 사유가 없는 한 최장 30년간 거주할 수 있어, 이론적으로 최대 15번까지 갱신 계약을 할 수 있습니다.",국민임대주택 공급
72,국민임대주택은 어떻게 신청할 수 있나요?,국민임대주택 신청은 한국토지주택공사(LH)나 서울주택도시공사(SH)와 같은 사업주체가 내는 모집공고를 확인하고 절차에 따라 입주 신청하시면 됩니다.,국민임대주택 공급
73,LH나 SH에서 발표하는 모집공고를 확인하기 위해선 어디에서 알아봐야 하나요?,"한국토지주택공사(LH)나 서울주택도시공사(SH)의 공식 홈페이지, 지역주택센터 또는 해당 지자체의 홈페이지에서 국민임대주택에 대한 모집공고를 확인할 수 있습니다.",국민임대주택 공급
74,국민임대주택 입주 지원을 하고 싶어요. 어떤 서류가 필요한가요?,"국민임대주택 입주를 신청하시려면 모집공고에 명시된 서류를 준비해야 합니다. 일반적으로는 신분증, 소득증명서류, 가족관계증명서 등이 요구될 수 있으며, 구체적인 필요 서류는 사업주체의 모집공고를 참고하시는 것이 정확합니다.",국민임대주택 공급
75,국민임대주택 정보를 알고 싶어요. 어디로 문의해야 하나요?,"국민임대주택 관련 문의는 시군구청, 지방도시공사, 또는 LH마이홈에 전화하시면 됩니다. 구체적인 기관으로는 SH나 경기도시공사가 있으며, 각각의 전화번호는 SH의 경우 1600-3456, 경기도시공사는 1588-0466 입니다. LH마이홈의 경우 1600-1004로 문의하실 수 있습니다.",국민임대주택 공급
76,지방도시공사 담당 부서에 전화하려는데 번호가 뭐예요?,"SH 지방도시공사의 전화번호는 1600-3456이며, 경기도시공사의 경우 1588-0466으로 연락하실 수 있습니다.",국민임대주택 공급
77,LH마이홈에 대해 좀 더 알고 싶습니다. 어떻게 연락할 수 있나요?,"LH마이홈에 관한 정보를 원하시면, 전화번호 1600-1004로 문의하실 수 있습니다.",국민임대주택 공급
78,경기도시공사와 연계된 국민임대주택에 대해 물어보고 싶어요. 어디로 전화해야 하죠?,경기도시공사와 관련된 국민임대주택 정보는 1588-0466으로 전화하시면 자세히 안내받을 수 있습니다.,국민임대주택 공급
79,"SH공사에서 운영하는 국민임대주택을 신청하고 싶은데, 연락처를 알려주세요.","SH공사에서 국민임대주택 신청과 관련하여 문의하실 경우, 1600-3456 번으로 연락하시면 도움을 받을 수 있습니다.",국민임대주택 공급
80,나는 경기도에 살고 있어요. 혹시 국민임대아파트를 어떻게 신청할 수 있는지 알려줄 수 있나요?,경기도에 계시면 경기도시공사를 통해 국민임대아파트 신청 정보를 문의하실 수 있습니다. 연락처는 1588-0466입니다.,국민임대주택 공급
81,국민행복기금에서 진행하는 채무조정 프로그램에 지원하려면 채무 상태가 어떠해야 하나요?,국민행복기금 채무조정 프로그램은 6개월 이상 연체된 원금 총액이 1억 원 이하인 국민행복기금에서 인수한 채권의 채무자가 대상입니다.,국민행복기금 채무조정
82,내가 가진 채권이 국민행복기금의 채무조정을 받으려면 원금 조건에 제한이 있나요?,"네, 국민행복기금 채무조정을 받으려면 채권 원금 총액이 1억 원 이하여야 하며 해당 채권이 국민행복기금에서 인수된 것이어야 합니다.",국민행복기금 채무조정
83,"6개월 이상 연체된 채무가 있는데, 국민행복기금 채무조정 서비스 이용이 가능할까요?","가능할 수 있습니다, 하지만 연체된 채무의 원금 총액이 1억 원을 초과하지 않고 국민행복기금이 해당 채권을 인수해야 국민행복기금 채무조정 서비스 대상자가 됩니다.",국민행복기금 채무조정
84,국민행복기금에서 소득이 낮은 채무자에게 원금 감면 혜택을 얼마나 제공하나요?,국민행복기금의 채무조정과정에서는 채무자의 소득과 상황에 따라 원금의 20%에서 최대 70%까지 감면 혜택을 제공할 수 있습니다.,국민행복기금 채무조정
85,연체기간이 긴 사람도 국민행복기금 채무조정 혜택을 받을 수 있나요?,"네, 연체기간이 긴 채무자도 개인의 상황에 맞춰 국민행복기금 채무조정 혜택을 받을 수 있습니다. 원금 감면 및 상환기간 조정이 가능합니다.",국민행복기금 채무조정
86,특수 채무자가 국민행복기금 채무조정 혜택을 받으면 원금은 얼마나 감면됩니까?,특수 채무자의 경우 최대 90%까지 원금 감면 혜택을 받을 수 있습니다.,국민행복기금 채무조정
87,국민행복기금을 통한 채무 상환기간은 최대 몇 년까지 연장될 수 있나요?,국민행복기금 채무조정에서는 상환기간을 최대 10년까지 조정할 수 있습니다.,국민행복기금 채무조정
88,국민행복기금에서는 어떤 기준으로 채무자에게 원금을 감면해주나요?,"국민행복기금은 채무자의 연령, 연체기간, 소득 등의 개인 상황을 고려하여 원금 감면 여부와 정도를 결정합니다.",국민행복기금 채무조정
89,국민행복기금 채무조정은 모든 채무자에게 같은 비율로 원금을 감면해주나요?,"아니요, 국민행복기금 채무조정은 각 채무자의 상황에 따라 다르게 적용되며, 원금 감면 비율은 개인의 조건에 기반하여 20%에서 70% 사이로 결정됩니다.",국민행복기금 채무조정
90,국민행복기금 및 채무조정 제도 직접 상담을 원할 경우 어디로 가야 하나요?,국민행복기금 채무조정을 직접 상담하길 원한다면 캠코(한국자산관리공사)에 방문하시면 됩니다.,국민행복기금 채무조정
91,인터넷으로 국민행복기금 채무조정 신청을 하고 싶어요. 어떻게 해야 하나요?,인터넷으로 국민행복기금 채무조정 신청을 하시려면 국민행복기금 공식 홈페이지(http://www.happyfund.or.kr)에서 온라인 신청하시면 됩니다.,국민행복기금 채무조정
92,캠코 방문 없이 채무조정을 신청할 수 있는 방법이 있나요?,"네, 캠코에 방문하지 않고 국민행복기금 누리집을 통해 온라인으로 채무조정 신청이 가능합니다.",국민행복기금 채무조정
93,해피펀드'라는 이름을 들어봤는데 이 사이트에서 할 수 있는 것은 무엇인가요?,"해피펀드'는 국민행복기금의 다른 이름으로, 해당 사이트에서는 채무조정 신청을 할 수 있습니다.",국민행복기금 채무조정
94,국민행복기금 채무조정 서비스를 이용하고 싶어요. 어디로 가야 할까요?,국민행복기금 채무조정 서비스를 이용하려면 캠코(한국자산관리공사)에 직접 방문하거나 국민행복기금 공식 홈페이지에서 온라인으로 신청할 수 있습니다.,국민행복기금 채무조정
95,국민행복기금의 온라인 신청 방법을 알려주세요.,국민행복기금의 온라인 신청을 원하시면 국민행복기금 누리집(http://www.happyfund.or.kr)에서 절차에 따라 신청하실 수 있습니다.,국민행복기금 채무조정
96,"채무 때문에 고민인데, 국민행복기금쪽으로 상담하고 싶어요. 어디로 연락하면 돼요?",국민행복기금 채무조정과 관련된 상담은 캠코(한국자산관리공사) 통합콜센터로 문의하시면 도움받으실 수 있습니다. 해당 콜센터의 전화번호는 1588-3570입니다.,국민행복기금 채무조정
97,"제 친구가 빚 때문에 힘들어하는데, 국민행복기금이 뭐하는 곳이에요?",국민행복기금은 채무자의 부채 조정을 통해 재정적으로 힘든 상황을 극복할 수 있도록 도와주는 기관입니다. 친구분께 캠코(한국자산관리공사) 통합콜센터의 번호인 1588-3570로 문의하라고 알려주세요.,국민행복기금 채무조정
98,"국민행복기금 관련해서 누군가에게 연락해야 하는데, 연락처를 몰라요.",국민행복기금에 관한 문의사항은 캠코(한국자산관리공사) 통합콜센터에서 안내받으실 수 있습니다. 그곳의 연락처는 1588-3570이니 참고하시기 바랍니다.,국민행복기금 채무조정
99,빚을 조정해보고 싶어요. 국민행복기금 채무조정과 관련하여 어디로 문의해야 하나요?,국민행복기금과 관련된 채무조정 서비스는 캠코(한국자산관리공사) 통합콜센터에서 제공하고 있습니다. 콜센터로 바로 1588-3570으로 전화하여 도움을 요청할 수 있습니다.,국민행복기금 채무조정
100,"서민 금융 지원에 대해서 듣고 연락을 하고 싶습니다, 국민행복기금은 어떻게 연결할 수 있나요?",서민 금융 지원에 대한 상담은 국민행복기금 채무조정을 담당하는 캠코(한국자산관리공사) 통합콜센터를 통해 가능합니다. 전화번호 1588-3570으로 연락하시면 됩니다.,국민행복기금 채무조정
